HIP,GLon,GLat,Lc,sptype,B-V,VMag,Lum,Cst,Name
167,112.5947645,-22.69639359,main-sequence,B,0.06,1.84,16.26,And,
169,309.7368354,-48.19147468,main-sequence,K,1.39,8.31,0.09,Tuc,Gliese 1294 A
171,109.6039584,-34.50871783,main-sequence,G,0.69,5.38,0.67,Peg,85 Pegasi (HR 9088)
175,114.831465,-12.32476151,giants,K,0.923,1.17,38.61,Cas,
178,30.08452321,-79.06526215,main-sequence,F,0.556,2.85,6.41,Scl,
179,80.56391085,-72.10498832,main-sequence,G,0.534,2.83,6.48,Cet,
183,16.55070821,-78.90289503,main-sequence,B,-0.15,-0.89,495.64,Scl,Zeta Sculptoris
186,103.0103747,-52.00809264,subgiants,A,0.182,0.89,36.65,Psc,31 Piscium
187,91.77268942,-65.91945329,main-sequence,F,0.5,3.51,3.42,Psc,
194,102.8089101,-52.46349293,main-sequence,F,0.315,2.87,6.21,Psc,32 c Piscium
205,92.82626071,-65.16251142,main-sequence,F,0.384,3.11,4.77,Psc,
210,88.90117409,-68.0749394,main-sequence,F,0.47,3.5,3.41,Cet,
212,19.83087209,-79.07235757,main-sequence,F,0.318,3.7,2.79,Scl,
216,113.5219875,-19.05892417,main-sequence,B,0.016,0.95,40.11,And,
217,121.3548135,20.25118581,main-sequence,A,0.118,-0.39,121.33,Cep,
220,111.9678734,-26.01792634,giants,A,0.18,1.31,25.01,And,
221,120.7929686,17.61320463,main-sequence,F,0.483,1.91,14.73,Cep,
223,99.18255781,-58.47999745,main-sequence,F,0.617,4.03,2.23,Psc,
225,77.37922181,-73.44478059,main-sequence,F,0.489,3.76,2.69,Cet,
232,14.22810538,-78.94069283,main-sequence,A,0.007,1.88,17.43,Scl,
237,338.9744108,-74.02325501,subgiants,G,0.903,3.09,6.48,Phe,
238,62.90269499,-76.83889937,main-sequence,F,0.526,2.32,10.51,Cet,HR 9095
239,100.0947544,-57.32512971,main-sequence,F,0.521,2.53,8.51,Psc,
242,353.6718938,-77.13879809,subgiants,G,0.967,2.02,18.24,Scl,
244,112.9618891,-21.93770694,supergiants,F,0.668,0.84,43.31,And,
253,45.57675605,-78.71639192,giants,K,1.176,-0.05,152.5,Cet,HR 9096
254,113.5677708,-19.24392055,main-sequence,A,0.051,0.69,47.52,And,
255,43.41169703,-78.85509363,main-sequence,F,0.421,3.16,4.79,Cet,
257,8.85506429,-78.71646984,main-sequence,A,0.081,2.31,10.33,Scl,
262,111.3857051,-28.9443832,main-sequence,F,0.422,2.83,6.23,And,
267,94.2927831,-64.30950199,main-sequence,F,0.455,3.14,4.73,Psc,
271,349.0903778,-76.50027351,giants,A,0.232,2.73,6.71,Scl,
277,348.1170369,-76.32831482,main-sequence,F,0.353,2.88,5.87,Scl,
283,104.9861736,-48.83769491,main-sequence,F,0.353,1.68,17.72,Peg,
290,9.29613532,-78.83531611,main-sequence,F,0.563,3.73,2.9,Scl,
293,315.4382241,-58.78874734,main-sequence,F,0.488,3.71,2.87,Phe,
294,100.7255247,-56.8909503,main-sequence,F,0.401,2.52,8.62,Psc,
296,23.32550661,-79.36545296,main-sequence,G,0.78,5.29,0.75,Scl,
297,114.8141509,-13.68091057,main-sequence,A,0.06,1.11,31.8,And,
299,311.6550733,-52.71218173,main-sequence,F,0.508,3.27,4.24,Tuc,
300,113.532221,-19.97602406,subgiants,A,0.244,1.59,19.22,And,
301,72.10055929,-75.26164244,subgiants,B,-0.047,-0.06,122.52,Cet,2 Ceti
305,23.31992529,-79.40946101,subgiants,G,0.741,4.31,1.86,Scl,
306,314.9338244,-58.17643489,main-sequence,G,0.616,4.25,1.81,Tuc,
309,327.3703679,-69.51946534,main-sequence,A,0.23,1.79,15.93,Phe,
310,330.7877657,-71.27623631,main-sequence,G,0.7,4.85,1.09,Phe,
313,323.5530103,-67.05799743,main-sequence,F,0.406,2.99,5.34,Phe,
315,308.3210977,-45.34963962,main-sequence,F,0.657,3.87,2.63,Tuc,
316,105.0731515,-49.07413341,giants,F,0.355,1.06,31.28,Peg,
317,305.3764563,-36.50699766,giants,F,0.314,1.79,15.95,Oct,
321,36.92084654,-79.34893095,main-sequence,G,0.607,4.05,2.19,Scl,
322,116.4822617,-5.35728687,subgiants,G,0.992,0.83,55.82,Cas,
323,115.168613,-12.28771902,giants,K,1.003,1.82,22.69,Cas,
328,13.97464372,-79.21316286,main-sequence,B,-0.085,0.52,88.03,Scl,
329,87.4559599,-69.69058826,main-sequence,G,0.699,4.65,1.31,Cet,
332,354.3073662,-77.53081904,main-sequence,F,0.563,2.49,8.93,Scl,
339,313.9092641,-56.7965947,main-sequence,A,0.037,1.56,21.97,Tuc,
340,329.2616885,-70.65081143,main-sequence,F,0.484,3.68,2.9,Phe,
342,61.76839903,-77.39636094,main-sequence,G,0.549,4.26,1.74,Cet,
343,74.69738774,-74.79123666,giants,K,1.084,1,52.66,Cet,HR 9101
345,18.52729637,-79.40922904,subgiants,B,0.006,0.91,42.79,Scl,HR 9102
349,17.91371061,-79.40065505,main-sequence,B,-0.058,1.16,41.65,Scl,
350,315.1517808,-58.67540985,main-sequence,K,1.1,7,0.21,Phe,
351,324.700081,-68.02292303,main-sequence,K,0.855,6.57,0.25,Phe,
356,91.87723021,-66.96347657,main-sequence,G,0.611,3.66,3.16,Cet,
357,307.6840735,-43.79539905,main-sequence,F,0.444,2.47,9.12,Tuc,HR 9106
359,306.3798779,-39.93935614,giants,G,0.639,5.33,0.68,Oct,
361,308.1011586,-44.96009653,giants,K,1.036,2.01,19.68,Tuc,
368,100.5331003,-57.88422675,giants,K,1.249,1.17,53.88,Psc,
372,308.5689858,-46.20868389,giants,K,1.072,0.69,68.81,Tuc,
377,308.184184,-45.21160842,main-sequence,B,-0.1,-0.63,267.92,Tuc,HR 9108
378,106.4443138,-46.40437016,subgiants,F,0.422,2.57,7.92,Peg,
379,118.4088609,4.70600682,giants,K,1.051,0.85,58.61,Cep,HR 9104
382,2.80410269,-78.60517832,main-sequence,F,0.368,2.82,6.22,Scl,
384,99.6717905,-59.21096963,subgiants,F,0.376,2.53,8.12,Psc,
389,16.46712713,-79.45588562,main-sequence,A,0.002,1.71,20.36,Scl,
392,111.0865864,-31.71235049,main-sequence,F,0.478,2.71,7.03,Peg,
394,112.1762899,-27.23809456,main-sequence,G,0.632,3.17,5.25,And,Gliese 3002 (Lalande 47207)
395,13.14937607,-79.32922717,main-sequence,A,0.036,1.69,19.57,Scl,
396,4.44546771,-78.77891333,giants,K,1.256,1.1,58.21,Scl,
399,110.218023,-35.07219392,giants,K,1.368,-0.23,231.46,Peg,HR 9109
400,109.274755,-38.36573334,main-sequence,G,0.755,5.71,0.54,Peg,Gliese 3003
403,70.39731393,-76.04572513,main-sequence,G,0.674,4.25,1.88,Cet,
404,114.4942225,-16.43493887,subgiants,F,0.55,3.22,4.55,And,
407,308.604266,-46.40097662,main-sequence,G,0.71,4.95,0.99,Tuc,
408,116.694318,-4.83927659,giants,G,0.986,1.57,28.04,Cas,
409,308.4983604,-46.13050096,main-sequence,F,0.461,3.17,4.91,Tuc,
410,110.5121002,-34.07498811,giants,G,0.946,0.36,82.91,Peg,
413,348.0401614,-76.72864609,main-sequence,G,0.537,4.18,1.89,Scl,
417,98.32762413,-61.13965401,giants,K,1.099,0.62,75.18,Psc,HR 2
418,117.3997907,-1.05909852,giants,B,-0.067,-0.92,297.16,Cas,
420,318.9594182,-63.5117439,main-sequence,G,0.577,4.42,1.54,Phe,
422,118.5731292,5.36087794,giants,K,1.288,-0.01,167.25,Cep,
424,114.4443094,-16.87868698,main-sequence,A,0.068,1.02,34.65,And,HR 1
425,311.7795181,-53.48085089,main-sequence,G,0.593,3.96,2.38,Tuc,
429,100.4274584,-58.4382351,main-sequence,G,0.644,3.75,2.94,Psc,
430,2.12175356,-78.64067446,giants,K,1.128,1.67,29.52,Scl,
432,112.4550116,-26.3585598,giants,A,0.174,1.94,13.91,And,
435,321.9041038,-66.24995892,main-sequence,F,0.538,4.46,1.55,Phe,
436,309.4972284,-48.70464921,main-sequence,K,1.076,7.48,0.13,Tuc,Gliese 3
439,343.6092004,-75.89691833,main-sequence,M,1.462,10.37,0.02,Scl,Gliese 1
440,118.7779841,6.38533363,main-sequence,B,-0.006,0.95,42.42,Cep,
441,339.4113438,-74.82767786,giants,G,0.94,0.36,82.57,Scl,
442,59.40887852,-77.99738777,main-sequence,B,-0.06,2.05,18.43,Cet,
443,93.75410437,-65.93293664,giants,K,1.029,1.63,27.66,Psc,33 Piscium
445,315.1615013,-59.06518326,main-sequence,A,0.191,2.17,11.3,Phe,
446,305.6263092,-37.63220472,giants,K,1.093,1.07,49.74,Oct,
448,101.2781832,-57.31611696,giants,K,1.12,0.47,89.15,Psc,
449,357.4579454,-78.20545551,subgiants,G,0.782,4.07,2.38,Scl,
453,95.66372533,-64.25955379,giants,K,1.045,0.39,88.35,Psc,
454,80.48346857,-73.37720963,giants,K,0.99,1.47,31.03,Cet,
456,343.6877175,-75.94842362,giants,K,1.123,1.6,31.48,Scl,
458,91.58422956,-67.69478642,giants,K,1.444,0.35,155.61,Cet,
459,312.5648346,-55.03458878,main-sequence,G,0.666,5.28,0.73,Tuc,
462,89.02089023,-69.40744002,main-sequence,F,0.446,3.61,3.24,Cet,
468,312.4949334,-54.95904672,giants,K,0.993,0.93,51.19,Tuc,
472,116.4711188,-6.58656578,giants,K,1.187,0.07,137.61,Cas,
474,114.3907382,-17.64288667,subgiants,A,0.247,2.35,9.54,And,
475,116.9390003,-4.02481941,main-sequence,G,0.636,4.62,1.37,Cas,
476,106.1862024,-47.98273943,giants,G,0.901,0.26,87.25,Peg,86 Pegasi
477,14.49169538,-79.57257271,main-sequence,A,0.353,3.39,3.84,Scl,
482,107.8178591,-43.68624977,main-sequence,F,0.414,2.25,10.59,Peg,
488,309.134161,-48.02425363,main-sequence,G,0.646,4.74,1.18,Tuc,
490,332.5490294,-72.65417095,main-sequence,G,0.595,4.53,1.39,Phe,
494,309.0234012,-47.77465156,main-sequence,F,0.585,4.55,1.36,Tuc,
497,115.411572,-12.58404808,main-sequence,A,0.3,1.75,16.58,Cas,
498,114.4963911,-17.38637989,main-sequence,A,0.239,1.12,29.41,And,
502,110.9236157,-33.53327373,giants,K,1.531,-1.07,716.52,Peg,
504,110.0538536,-36.81759455,giants,K,1.112,0.53,83.38,Peg,
508,113.6628625,-21.63527915,giants,G,0.912,-0.27,144.14,And,
509,6.64382857,-79.21816666,main-sequence,G,0.633,5.21,0.76,Scl,
511,99.3071148,-60.65537309,giants,K,1.108,2.29,16.31,Psc,
512,18.83603744,-79.81808662,main-sequence,B,-0.03,1.33,31.55,Scl,
517,315.9421454,-60.47361435,subgiants,F,0.476,2.79,6.56,Phe,
518,117.0338533,-3.91673761,main-sequence,G,0.687,4.32,1.77,Cas,Gliese 9001
519,310.907909,-52.18278037,subgiants,F,0.459,1.78,16.56,Tuc,
521,98.36432753,-61.93800697,giants,K,1.22,1.6,35.19,Psc,
522,321.5904025,-66.38611603,main-sequence,F,0.519,3.65,3.01,Phe,Gliese 9002 A
524,85.74369832,-71.55316997,main-sequence,F,0.487,3.15,4.71,Cet,
529,71.81204034,-76.20744601,subgiants,F,0.402,1.57,19.78,Cet,
530,114.1977203,-19.35444355,main-sequence,G,0.624,3.23,4.85,And,
531,118.0585992,1.75099583,subgiants,B,-0.023,-1.55,447.9,Cas,10 Cassiopeiae
538,103.0383938,-55.30232067,main-sequence,K,1.008,6.89,0.21,Psc,
540,111.1430256,-33.28964695,giants,G,0.986,0.65,65.53,Peg,
541,323.1871244,-67.74128961,main-sequence,F,0.578,4.54,1.37,Phe,
544,111.2626225,-32.83198204,main-sequence,G,0.752,5.39,0.69,And,Gliese 5
546,346.8993366,-76.93517827,giants,G,1.038,1.13,44.33,Scl,
547,44.41872241,-79.62464301,main-sequence,F,0.548,2.4,9.89,Cet,
556,95.91148412,-64.85245362,main-sequence,F,0.574,3.01,5.57,Psc,
557,109.8655043,-38.24230236,subgiants,F,0.41,2.19,11.23,Peg,
560,52.20562461,-79.1381397,main-sequence,F,0.386,3.21,4.33,Cet,HR 9
565,100.850138,-59.08672218,main-sequence,F,0.567,3.38,3.94,Psc,
567,338.4962693,-75.01619571,giants,K,1.123,-0.81,289.07,Scl,
569,96.64738653,-64.20053724,main-sequence,G,0.58,4.54,1.37,Psc,
571,10.67255428,-79.66035523,main-sequence,F,0.402,3.74,2.69,Scl,
573,328.0482826,-70.90865009,giants,G,0.955,0.66,63.27,Phe,
578,109.7547612,-38.8883954,giants,F,0.387,2.67,7.14,Peg,
581,103.8063634,-54.34028893,giants,A,0.203,2.14,11.53,Psc,
584,78.32598623,-74.73890323,main-sequence,F,0.529,3.81,2.61,Cet,
585,10.82467686,-79.7137359,main-sequence,A,0.061,2.1,12.77,Scl,
587,340.909026,-75.74528221,main-sequence,F,0.405,2.15,12.16,Scl,
595,57.44329723,-78.73298309,main-sequence,F,0.503,4.87,1,Cet,
596,306.2307514,-40.11279858,main-sequence,F,0.419,3.05,5.06,Hyi,
597,119.7021367,10.61639944,main-sequence,F,0.407,1.07,31.19,Cep,
599,331.5783653,-72.69268707,main-sequence,F,0.599,4.37,1.6,Phe,
602,74.35665277,-75.90260785,main-sequence,A,0.133,0.01,83.26,Cet,HR 10
604,100.9305646,-59.30919569,main-sequence,G,0.653,3.75,2.95,Psc,
606,40.62589399,-79.96527534,main-sequence,F,0.463,3.56,3.44,Scl,
607,110.819426,-35.38235199,subgiants,K,1.011,1.84,22.5,Peg,
611,334.3922586,-73.84763207,main-sequence,K,0.909,2.86,8,Phe,
612,315.2610086,-60.05175485,subgiants,F,0.466,1.72,17.43,Phe,
616,48.97968966,-79.55898673,main-sequence,G,0.798,6.11,0.37,Cet,Gliese 9003
618,312.4494027,-55.66868961,main-sequence,F,0.595,3.21,4.68,Tuc,
620,303.8097091,-31.01452487,subgiants,B,-0.018,0.13,92.38,Oct,
624,326.0067236,-69.99510069,main-sequence,F,0.584,2.82,6.72,Phe,
626,113.9240333,-21.95631232,giants,K,0.951,1.91,20.01,And,
628,100.7117102,-59.87565722,subgiants,A,0.17,1.58,19.52,Psc,
630,113.712397,-23.05212068,main-sequence,F,0.456,2.89,6.18,And,
631,309.9345909,-50.59688349,giants,K,1.158,1.36,40.73,Tuc,
634,113.3475787,-24.8712798,main-sequence,F,0.478,1.98,13.84,And,
635,98.02018529,-63.28684955,subgiants,B,-0.146,0.13,192.32,Psc,4 Ceti
636,55.56335958,-79.07589224,main-sequence,A,0.141,1.46,21.81,Cet,HR 12
640,113.6862733,-23.36616717,main-sequence,A,0.181,1.55,19.88,And,
642,96.02285381,-65.42555844,main-sequence,G,0.595,4.39,1.58,Psc,
648,305.6516091,-38.29916889,main-sequence,A,0.156,2.14,11.69,Hyi,
649,93.20745063,-67.87394539,main-sequence,F,0.505,3.19,4.75,Cet,
652,112.1735306,-30.57207885,main-sequence,A,0.184,1.63,18.57,And,
653,13.43381655,-80.04312436,main-sequence,A,0.306,3.23,4.23,Scl,
655,355.9115924,-78.67112833,giants,K,1.119,0.79,66.04,Scl,HR 13
664,98.34423682,-63.23661255,giants,K,1.366,-1,470.86,Psc,5 Ceti
669,81.53136097,-74.11576214,main-sequence,G,0.624,4.85,1.07,Cet,
671,91.79351642,-69.04538804,giants,K,1.034,1.03,48.53,Cet,HR 16
673,359.5114792,-79.12849861,giants,K,1.064,2.24,16.46,Scl,
675,102.4991291,-57.71232328,giants,K,1.193,0.91,64.42,Psc,
677,111.7319238,-32.84290326,main-sequence,B,-0.038,-0.3,146.79,And,21 Alpha Andromedae (Alpheratz)
682,104.2329738,-54.68593085,main-sequence,G,0.626,4.63,1.28,Psc,
687,108.5536056,-44.24399616,main-sequence,K,1.46,9.05,0.05,Peg,Gliese 3008
688,47.94408068,-79.85156979,main-sequence,F,0.508,2.16,12.18,Cet,
690,309.5715993,-50.05687555,subgiants,G,0.675,4.49,1.5,Tuc,
691,116.2964734,-9.98130792,main-sequence,F,0.358,3.36,4.1,Cas,
695,118.1201669,0.73369752,giants,G,0.998,-1.34,413.13,Cas,
698,306.8574499,-42.56210851,giants,K,1.326,0.22,143.84,Tuc,
699,113.4434349,-25.45534894,main-sequence,F,0.504,3.65,2.99,And,Gliese 6 (HR 17)
700,98.79320179,-63.07464967,giants,K,0.963,0.92,50.39,Psc,
701,119.9829789,11.58798163,main-sequence,A,-0.006,1.23,32.62,Cep,
705,122.2818652,23.97012126,main-sequence,G,0.588,4.63,1.36,Cep,
706,350.3126513,-78.07875983,main-sequence,F,0.473,1.81,16.99,Scl,
708,343.4760153,-76.81340357,main-sequence,F,0.471,2.91,6.23,Scl,
709,322.9253614,-68.37825532,subgiants,F,0.481,2.13,12.08,Phe,
716,110.9730795,-36.41838864,giants,G,0.976,0.54,72.06,Peg,HR 19
723,118.6994571,3.93467922,main-sequence,K,0.885,6.17,0.37,Cas,
724,62.1173765,-78.65792746,giants,K,1.087,1.59,30.39,Cet,
726,335.1977508,-74.61817462,main-sequence,G,0.62,3.83,2.69,Phe,
728,111.6914072,-33.69627638,main-sequence,A,0.242,1.25,26.12,Peg,
729,108.9909696,-43.5090425,giants,G,1.043,0.86,57.11,Peg,87 Pegasi
730,316.253361,-62.01604661,giants,G,0.738,0.8,46.77,Phe,Gliese 9 C
732,349.0147972,-77.9410672,subgiants,F,0.417,2.04,12.84,Scl,
736,312.8688194,-57.02253167,main-sequence,G,0.811,3.74,3.3,Tuc,
737,114.3451059,-21.32082161,subgiants,K,0.8,3.07,6.09,And,
738,30.54727158,-80.57471714,main-sequence,M,1.493,9.89,0.03,Scl,Gliese 7
745,338.7328281,-75.74993027,main-sequence,G,0.671,3.75,2.98,Scl,
746,117.5268839,-3.27721799,giants,F,0.38,1.16,28.82,Cas,11 Beta Cassiopeiae (Caph)
755,118.5053495,2.56203762,subgiants,G,0.932,3.34,5.27,Cas,
758,330.5122699,-72.91147955,main-sequence,F,0.446,3.9,2.33,Phe,
759,108.8699441,-44.18459906,giants,G,0.644,3.51,3.65,Peg,
760,120.9770877,17.00306632,subgiants,A,0.203,0.9,36.16,Cep,
761,25.24191387,-80.63532696,main-sequence,F,0.414,0.98,34.02,Scl,Kappa-1 Sculptoris
762,332.1263756,-73.61400035,main-sequence,G,0.83,4.64,1.44,Phe,
765,324.3387152,-69.5947544,giants,K,1.013,0.65,67.21,Phe,Epsilon Phoenicis
766,100.8484125,-60.98478758,main-sequence,F,0.484,2.89,6,Psc,
768,109.4020309,-42.65070882,main-sequence,G,0.66,3.78,2.87,Peg,
769,101.6566144,-59.88267772,giants,K,1.22,0.51,96.77,Psc,
772,352.6030593,-78.60473002,main-sequence,G,0.687,4.67,1.28,Scl,
773,109.5496516,-42.22060866,subgiants,G,1.005,1.69,25.53,Peg,
775,309.602833,-50.55274607,giants,K,1.068,1.54,31.3,Tuc,
777,61.75890523,-78.87118462,main-sequence,F,0.499,3.84,2.51,Cet,
785,310.6107611,-52.91169857,giants,M,1.571,0.63,172.87,Tuc,
786,341.1651342,-76.53884489,main-sequence,F,0.437,2.36,9.6,Scl,
787,3.07445809,-79.78603556,main-sequence,K,0.965,6.5,0.29,Scl,
788,98.10627644,-64.52084621,main-sequence,F,0.469,3.96,2.23,Psc,
791,332.2063656,-73.78354656,main-sequence,G,0.644,4.15,2.04,Phe,
792,95.07007961,-67.43297547,subgiants,K,0.906,3.73,3.58,Cet,
794,353.7677295,-78.84219526,main-sequence,K,0.833,5.14,0.93,Scl,
795,105.6737943,-53.0196962,main-sequence,G,0.716,4.25,1.92,Psc,
798,311.1667376,-54.1617801,main-sequence,A,0.164,0.74,42.32,Tuc,
801,319.0934475,-65.536376,main-sequence,G,0.595,4.68,1.24,Phe,
804,305.5346506,-38.32718452,subgiants,K,1.011,3.47,5.01,Hyi,
805,325.5980424,-70.59108211,giants,K,0.974,0.2,98.35,Phe,
809,309.8116868,-51.21362935,giants,K,0.964,1.39,32.68,Tuc,
810,38.29100427,-80.64408452,main-sequence,A,0.139,1.48,21.46,Scl,
813,106.8671554,-50.43007074,main-sequence,B,-0.064,0.69,67.72,Psc,34 Piscium
814,304.6276111,-34.76747971,giants,K,1.049,0.83,59.03,Oct,Gamma-3 Octantis (HR 30)
815,310.677321,-53.20466068,main-sequence,F,0.456,2.93,6.06,Tuc,
817,115.5320445,-15.88592306,main-sequence,A,0.251,1.7,17.34,And,
818,92.68799984,-69.3788554,subgiants,F,0.345,2.51,8.23,Cet,
819,305.4201948,-37.92580924,main-sequence,F,0.476,3.08,5.1,Hyi,
829,305.5981463,-38.61293516,giants,K,1.377,-0.21,230.32,Hyi,
839,307.7632728,-45.90350467,main-sequence,F,0.411,3.18,4.78,Tuc,
840,96.9922285,-66.02725039,giants,K,0.973,2.01,18.51,Psc,HR 29
841,115.5246675,-16.20727667,supergiants,F,0.405,-2.84,1153.32,And,22 Andromedae
844,321.0552413,-67.51338745,main-sequence,F,0.423,3.8,2.55,Phe,
846,84.80842995,-73.7360134,main-sequence,G,0.578,4.44,1.49,Cet,
847,88.81419043,-71.8825523,main-sequence,F,0.508,3.33,4.17,Cet,
851,83.87966031,-74.12742784,main-sequence,F,0.528,2.4,9.86,Cet,
852,112.1588062,-33.35986667,giants,M,1.528,-0.61,456.4,Peg,
856,108.510944,-46.49017064,main-sequence,F,0.491,3.79,2.68,Peg,
857,117.3792737,-5.26417991,subgiants,B,-0.074,0.48,85.76,Cas,HR 28
858,113.150251,-28.96287437,giants,K,1.429,-0.56,345.68,And,
860,117.7883178,-2.78964966,main-sequence,B,-0.017,-1.91,603.31,Cas,
863,310.4239225,-52.89630971,subgiants,F,0.563,2.8,6.71,Tuc,
865,306.9778458,-43.58185978,subgiants,F,0.372,2.42,8.95,Tuc,HR 32
872,315.4789964,-61.72453112,main-sequence,G,0.692,2.34,11.07,Phe,
873,87.69061203,-72.60328884,giants,K,1,1.47,31.51,Cet,HR 31
875,336.5094427,-75.58838611,main-sequence,G,0.588,3.65,3.12,Scl,
879,306.8798986,-43.30776698,subgiants,F,0.551,4.21,1.82,Tuc,
881,348.8123238,-78.36322775,giants,K,0.951,0.81,55.23,Scl,
885,116.1044783,-13.32160065,subgiants,B,-0.015,0.66,57.06,Cas,
892,100.0608962,-63.13416268,giants,K,1.096,1.24,42.36,Psc,
