HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V(culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius
90135,21.81534497,2.03366942,Zeta Scuti (HR 6884),Scutum,K,giants,0.932,0.66,62.04,4.662,4999,9.836
90350,22.79200779,1.85967144,,Scutum,A,main-sequence,0.202,2.25,10.44,8.35,7749,1.999
90218,22.58460499,2.20465009,,Scutum,F,main-sequence,0.408,2.5,8.78,7.34,6683.3,2.113
89686,21.44091807,3.37873619,,Serpens,K,giants,1.216,2.29,18.42,7.72,4346,10.958
89846,22.24413837,3.26087114,,Serpens,F,sub-giants,0.401,2.65,7.3,6.553,6881,1.991
90030,22.91455392,3.02837746,,Scutum,B,super-giants,0.094,0.66,46.68,7.039,8300,3.885
90437,23.0090526,1.68731314,,Scutum,K,giants,1.054,1.57,30,6.496,4981.1,8.3
90379,23.74330308,2.25492072,,Scutum,K,giants,1.245,2.66,13.6,8.33,4906.8,8.551
90238,23.58103786,2.67291725,HR 6892,Scutum,K,giants,1.161,1.4,39.67,6.295,4500.3,11.541
90512,24.79449832,2.35226549,,Scutum,F,main-sequence,0.473,2.81,6.45,8.57,6687.3,1.323
89619,22.54287745,4.18001429,,Serpens,A,sub-giants,0.333,1.85,15.08,8.37,6763,2.517
89216,21.94946094,5.26287735,,Serpens,F,main-sequence,0.548,3.08,5.14,7.72,6207,1.754
89728,23.21325687,4.16951507,Gliese 9625,Serpens,K,main-sequence,1.06,6.84,0.24,9.28,4711.8,0.694
90239,24.0012767,2.88919102,,Scutum,F,main-sequence,0.604,2.9,6.25,8.66,6082,0.958
90239,24.0012767,2.88919102,,Scutum,F,main-sequence,0.604,2.9,6.25,7.201,6082,1.956
90131,24.18259355,3.30299349,,Scutum,F,main-sequence,0.588,3.2,4.75,8.28,6290.9,2.118
90246,24.23476766,2.98290013,,Scutum,K,main-sequence,1.18,7.52,0.14,10.46,4515.6,0.656
89780,24.36201468,4.60004608,,Serpens,F,main-sequence,0.563,3.68,3.06,8.49,6356.8,1.738
90147,25.18488705,3.76734584,,Scutum,M,main-sequence,1.383,9.12,0.04,11.178,3857,0.536
89897,24.50700873,4.30221714,,Serpens,K,main-sequence,0.92,6.09,0.42,10.38,5020,0.795
86222,11.76869632,9.46618857,,Serpens,F,main-sequence,0.409,3.09,5.1,7.93,6666.7,1.514
86420,12.36366654,9.17287686,,Serpens,F,main-sequence,0.404,3.18,4.48,7.57,6801,1.614
86049,11.81598639,10.08953376,,Serpens,A,main-sequence,0.04,1.55,21.77,6.871,9318,2.128
85939,11.76762609,10.42328491,,Serpens,K,giants,1.348,1.7,37.66,8.25,4516,19.228
86565,13.27884183,9.17043827,56 Omicron Serpentis (HR 6581),Serpens,A,sub-giants,0.086,0.61,49.13,4.248,8790,2.692
85809,12.38226292,11.31770892,,Serpens,A,main-sequence,0.368,3.29,4.04,9.23,7352,2.52
86059,12.95749743,10.7259423,,Serpens,K,giants,1.077,1.16,44.78,7.86,5657,7.826
85741,13.64546001,12.272046,,Serpens,F,sub-giants,0.521,3.72,2.84,7.45,6342,1.391
86452,14.3164849,10.20789305,,Serpens,B,sub-giants,0.299,1.7,17.33,8.08,10286,2.725
86416,14.43630346,10.39999716,,Serpens,F,main-sequence,0.417,2.67,7.37,7.92,6736.4,2.091
86702,15.28526127,9.91047717,,Ophiuchus,G,main-sequence,0.703,4.89,1.06,9.21,5662,1.094
86370,14.69962336,10.70983764,,Serpens,G,giants,1.358,2.89,12.88,8.78,4066,12.143
86313,14.56793921,10.85017407,HR 6568,Serpens,K,giants,1.228,0.39,107.46,5.716,4490,17.477
86019,13.85797082,11.40201109,HR 6544,Serpens,B,main-sequence,0.013,0.09,88.61,5.533,10889,2.806
86190,15.34305658,11.71406714,,Ophiuchus,F,main-sequence,0.56,3.27,4.37,8.68,5908,1.898
89396,3.99353246,-5.0590516,,Sagittarius,F,main-sequence,0.434,4.37,1.51,7.99,6363,1.155
89592,4.47296665,-5.392849,,Sagittarius,K,giants,1.246,1.21,51.66,6.66,4541,11.034
89871,5.09856085,-5.91547442,,Sagittarius,K,giants,1.371,0.75,95.47,7.25,4233,15.584
89366,4.37108006,-4.74966539,,Sagittarius,B,super-giants,-0.017,0.15,91.25,7.16,10831,3.165
89614,5.5153157,-4.91647259,,Sagittarius,G,main-sequence,0.56,5.01,0.88,9.49,5867,1.147
89954,6.36540845,-5.47234739,,Sagittarius,A,main-sequence,0.249,0.59,48.29,6.91,8017,3.051
89673,5.95869603,-4.87302523,,Sagittarius,G,main-sequence,0.551,4.4,1.54,9.41,5947,1.044
89731,6.52839828,-4.74878226,HR 6846,Sagittarius,K,giants,1.346,-0.46,275.46,6.51,4342,21.335
86572,355.1660457,-1.94927309,,Scorpius,A,main-sequence,0.149,1.1,30.55,7.51,8535,3.762
85839,353.9813247,-0.47193727,HR 6522,Scorpius,F,sub-giants,0.36,0.76,41.23,6.16,6880,4.827
86001,354.7490286,-0.52429259,,Scorpius,G,main-sequence,0.56,3.63,3.14,8.96,6062,1.244
86752,355.3869748,-2.32157852,,Scorpius,B,giants,0.006,0.9,43.15,7.71,11681,2.969
86892,356.225251,-2.21598863,,Scorpius,F,main-sequence,0.512,4.04,2.09,9.47,6625,1.295
86953,357.092499,-1.89322072,,Scorpius,G,main-sequence,0.633,4.35,1.67,9.38,5891,1.108
86650,356.5684535,-1.26826474,,Scorpius,F,main-sequence,0.4,1.73,17.1,7.85,6872,3.668
85786,354.3933438,-0.04899743,HR 6517,Scorpius,K,giants,1.191,1.2,49.47,6.43,4632,10.887
85999,355.994073,0.28457624,,Scorpius,F,main-sequence,0.52,4.73,1.12,9.15,6085,1.045
85422,354.8446975,1.3647301,,Scorpius,F,main-sequence,0.459,3.79,2.76,8.38,6474.5,1.32
85797,356.2337246,1.1349056,,Scorpius,G,main-sequence,0.56,4.65,1.22,9.55,6582,1.102
86244,356.3117931,-0.22244328,,Scorpius,G,main-sequence,0.6,4.85,1.03,9.31,5844,1.232
86285,357.4353101,0.38719282,,Scorpius,G,main-sequence,0.582,2.98,5.78,8.3,6084,2.298
86408,357.6863038,0.15812992,,Scorpius,G,main-sequence,0.68,4.62,1.34,9.51,5618,1.203
87144,357.1009031,-2.42398912,,Scorpius,A,main-sequence,0.135,2.33,9.79,7.36,9051,1.68
86963,357.3658058,-1.761072,Gliese 2130 B,Scorpius,M,main-sequence,1.439,12.47,0,11.45,3340,0.462
87220,358.0289532,-2.08835971,HR 6628,Scorpius,B,giants,-0.028,-1.37,379.28,4.79,9905.7,7.037
87466,358.6905487,-2.46649947,,Scorpius,K,giants,1.495,0.79,116.18,6.97,4243,19.146
86915,358.2462423,-1.05386214,,Scorpius,G,main-sequence,0.671,3.76,2.96,8.86,5790,1.43
87162,359.1516535,-1.23044773,,Scorpius,F,main-sequence,0.529,3.52,3.54,7.99,6155.2,1.782
88033,0.40607098,-3.11139387,Gliese 9608,Sagittarius,K,main-sequence,0.79,6.34,0.31,9.34,5214,0.787
87760,0.2193248,-2.40213039,,Sagittarius,A,sub-giants,0.279,2.31,9.87,8.28,7700,2.147
87482,0.23761409,-1.59509196,,Sagittarius,A,main-sequence,0.281,2.83,6.09,8.26,7423,2.322
86629,358.2697661,-0.15764849,,Scorpius,F,main-sequence,0.554,3.21,4.8,8.75,5933.8,2.946
86744,358.7015183,-0.25618177,,Scorpius,F,sub-giants,0.26,2.41,8.99,7.79,7858,1.85
86360,358.2012085,0.63197894,,Scorpius,F,main-sequence,0.59,3.76,2.81,8.71,6009.4,2.179
86665,359.2094839,0.32573071,,Ophiuchus,F,main-sequence,0.387,2.74,6.95,8.05,6852.5,2.044
87233,0.00125456,-0.97276377,,Sagittarius,A,main-sequence,0.366,2.55,8.19,8.32,7067,2.501
87238,0.11154739,-0.91586378,,Sagittarius,F,main-sequence,0.325,3.15,4.57,8.03,6908,1.746
87038,359.8970383,-0.43141733,,Sagittarius,G,main-sequence,0.573,4.37,1.59,9.33,6070,1.143
